$OR;D2 
* From-Time  To-Time 
06.00 7.00 
* Factor 
1.00
783176708 9162004 386
783095006 9162119 269
554321029 9162119 184
586900421 9162010 211
784358748 9162010 175
783176672 9162009 136
819400248 9162004 139
783176672 9162012 186
774028738 9184018 152
783176708 9162115 112
783176708 9162119 131
586888382 9162009 61
784358748 9162012 139
783176672 9162010 193
9184018 774028738 83
783095006 9162004 149
783095006 9162115 99
586900421 9162012 127
783176708 9162103 109
783095006 9162034 82
819400248 9162009 54
9162119 783095006 104
784358748 9162009 114
586900421 9162009 63
783176672 9162042 49
554321029 9184018 91
783176708 9162009 77
774028738 9162119 38
783176672 9162103 34
783176708 9162113 97
586888382 9162004 106
819400248 9162103 54
783176672 9162040 47
554321029 9162030 71
586900421 9162016 54
783176672 9162004 56
9162010 586900421 42
9162010 783176672 90
9162001 9162004 59
9162030 554321029 43
783176708 9162066 175
586900421 586888382 36
9162012 783176672 169
586888382 9162012 77
819400248 9162012 105
783095006 9162030 63
783176708 9162001 60
586900421 783176672 43
586900421 9162107 60
9162009 586888382 29
9162030 9162119 63
9184005 774028738 64
783176708 783095006 54
784358748 9162107 43
586900421 9184003 94
9162010 784358748 71
783176708 9162102 39
9184018 9162119 44
9162016 586900421 41
9162001 586888382 45
554321029 9162115 94
774028738 9162026 65
774028738 9184024 63
9162115 9162004 51
819400248 9162001 51
52814612 9162019 76
783176672 9162113 6
819400248 9162113 75
554321029 9162026 65
9162030 783095006 55
9162119 554321029 28
9162119 9162004 63
9162001 783176708 50
774028738 9162024 61
774028738 783095006 45
774028738 52814612 22
783176672 9162066 162
554321029 9162034 57
783176708 9162012 67
783176708 9162040 92
783176708 9162068 31
9162081 9162119 49
9162010 9162012 49
9162119 9162115 70
774028738 9162158 40
783176708 9162064 142
586900421 9162042 54
9184005 9162119 46
9184018 9162026 42
9162040 586888382 38
9162113 783176708 24
9162113 9162004 32
586888382 9162010 56
586888382 9162103 34
52814612 9162024 63
783095006 783176708 75
9184024 774028738 47
9162001 819400248 43
9162016 9162010 38
9162009 783176672 31
9162016 784358748 43
9162012 586888382 41
586888382 9162040 32
9162040 9162004 63
9162012 9162009 34
554321029 783176708 99
52814612 9162004 24
783176708 9162077 39
586900421 9162024 39
9184003 586900421 43
9184005 9184018 61
9184024 9184018 42
9162021 9162009 19
9162022 784358748 30
9162022 52814612 31
9162012 784358748 46
783176708 9162034 29
