$OR;D2 
* From-Time  To-Time 
07.00 8.00 
* Factor 
1.00
783176708 9162004 698
783095006 9162119 537
554321029 9162119 309
586900421 9162010 366
784358748 9162010 325
783176672 9162009 276
819400248 9162004 390
783176672 9162012 328
774028738 9184018 335
783176708 9162115 170
783176708 9162119 224
586888382 9162009 217
784358748 9162012 255
783176672 9162010 227
9184018 774028738 146
783095006 9162004 192
783095006 9162115 270
586900421 9162012 191
783176708 9162103 211
783095006 9162034 136
819400248 9162009 74
9162119 783095006 265
784358748 9162009 129
586900421 9162009 136
783176672 9162042 31
554321029 9184018 144
783176708 9162009 125
774028738 9162119 146
783176672 9162103 87
783176708 9162113 232
586888382 9162004 219
819400248 9162103 122
783176672 9162040 86
554321029 9162030 161
586900421 9162016 210
783176672 9162004 162
9162010 586900421 116
9162010 783176672 140
9162001 9162004 103
9162030 554321029 73
783176708 9162066 448
586900421 586888382 118
9162012 783176672 123
586888382 9162012 231
819400248 9162012 141
783095006 9162030 142
783176708 9162001 113
586900421 783176672 138
586900421 9162107 116
9162009 586888382 84
9162030 9162119 138
9184005 774028738 86
783176708 783095006 76
784358748 9162107 84
586900421 9184003 200
9162010 784358748 180
783176708 9162102 147
9184018 9162119 106
9162016 586900421 95
9162001 586888382 84
554321029 9162115 134
774028738 9162026 123
774028738 9184024 146
9162115 9162004 233
819400248 9162001 144
52814612 9162019 61
783176672 9162113 82
819400248 9162113 90
554321029 9162026 91
9162030 783095006 95
9162119 554321029 60
9162119 9162004 117
9162001 783176708 62
774028738 9162024 108
774028738 783095006 56
774028738 52814612 57
783176672 9162066 228
554321029 9162034 82
783176708 9162012 117
783176708 9162040 121
783176708 9162068 160
9162081 9162119 126
9162010 9162012 152
9162119 9162115 86
774028738 9162158 69
783176708 9162064 313
586900421 9162042 67
9184005 9162119 101
9184018 9162026 84
9162040 586888382 52
9162113 783176708 85
9162113 9162004 86
586888382 9162010 62
586888382 9162103 74
52814612 9162024 146
783095006 783176708 130
9184024 774028738 78
9162001 819400248 63
9162016 9162010 79
9162009 783176672 82
9162016 784358748 105
9162012 586888382 143
586888382 9162040 60
9162040 9162004 66
9162012 9162009 52
554321029 783176708 106
52814612 9162004 22
783176708 9162077 101
586900421 9162024 62
9184003 586900421 107
9184005 9184018 121
9184024 9184018 125
9162021 9162009 46
9162022 784358748 54
9162022 52814612 57
9162012 784358748 39
783176708 9162034 35
52814612 9184018 79
52814612 9162022 115
783176672 9162107 100
783095006 9162032 57
9162009 9162012 16
9162004 783176708 89
9162035 9162004 74
9162032 9162119 57
9162016 9162012 18
9162158 52814612 80
9162001 9162009 55
9162103 783176708 57
52814612 9162158 154
52814612 9162160 21
52814612 9162009 103
783176708 9162042 48
783176708 9162007 177
783176708 9162038 87
784358748 9162042 110
784358748 9162016 109
9184018 9162028 41
9162022 9162010 33
9162102 783176708 66
9162016 52814612 64
9162009 9162004 78
9162040 783176672 37
9162158 9162004 6
9162081 783095006 37
9162115 9162119 67
9162103 819400248 55
9162024 774028738 40
586888382 9162042 36
783176708 9162037 79
783176672 9162021 35
52814612 9162016 159
783095006 9162071 64
783095006 9162066 238
554321029 774028738 81
783176708 9162160 49
586900421 9162021 113
9184005 554321029 136
9162030 9184018 66
9162016 783176672 43
9162001 783176672 40
9162081 774028738 59
9162026 9184018 58
9162024 52814612 52
9162062 9162004 103
9162021 586900421 45
9162103 9162009 29
9162030 774028738 46
783176708 9184018 97
774028738 9162037 26
52814612 9162028 50
783176672 9184003 3
586888382 9162113 29
783176672 9162064 236
554321029 9184005 129
783095006 9162077 32
783176708 9162062 62
783176708 9162158 23
586900421 9162019 100
9162119 783176708 65
9184018 9162030 59
819400248 9162119 70
9162056 586888382 35
9162113 586888382 63
9162026 774028738 33
9162102 9162004 50
9162107 586900421 43
9162010 9162042 72
9162016 9162004 61
9162119 9162030 84
9162022 586900421 103
9162081 9184018 69
9162062 586888382 43
